Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SOBHA.NS,SOBHA.NS,SOBHA.NS,SOBHA.NS,SOBHA.NS,SOBHA.NS
Date,,,,,,
2014-11-01,447.3804016113281,499.20001220703125,524.0,425.20001220703125,434.75,3977538
2014-12-01,432.1003112792969,482.1499938964844,539.0,447.20001220703125,502.70001220703125,3762655
2015-01-01,422.9142761230469,471.8999938964844,514.9000244140625,420.04998779296875,480.0,2503538
2015-02-01,428.0673522949219,477.6499938964844,487.79998779296875,431.45001220703125,474.8999938964844,4387878
2015-03-01,360.3150939941406,402.04998779296875,500.0,376.0,476.70001220703125,2843941
2015-04-01,351.21868896484375,391.8999938964844,468.6000061035156,379.54998779296875,402.20001220703125,3087005
2015-05-01,384.646728515625,429.20001220703125,439.0,381.0,391.8999938964844,2506634
2015-06-01,319.493408203125,356.5,439.5,349.25,434.8999938964844,3200279
2015-07-01,314.2058410644531,350.6000061035156,385.0,317.0,360.0,3655612
2015-08-01,258.50677490234375,283.0,367.75,278.0,353.0,2869005
2015-09-01,254.53323364257812,278.6499938964844,289.8999938964844,244.0,280.0,7648829
2015-10-01,296.41497802734375,324.5,332.0,268.5,279.0,4592156
2015-11-01,282.5762023925781,309.3500061035156,348.70001220703125,292.5,323.79998779296875,2319706
2015-12-01,283.4896240234375,310.3500061035156,328.0,299.0,312.0,1659629
2016-01-01,264.078857421875,289.1000061035156,320.75,280.0,313.79998779296875,1099461
2016-02-01,219.0,239.75,300.45001220703125,230.0,285.29998779296875,1206028
2016-03-01,250.24008178710938,273.95001220703125,279.3999938964844,237.0,242.0,2318022
2016-04-01,268.1436767578125,293.54998779296875,326.6000061035156,265.6499938964844,274.0,2099857
2016-05-01,278.6026611328125,305.0,315.3999938964844,286.04998779296875,291.20001220703125,2535922
2016-06-01,298.4245910644531,326.70001220703125,329.5,297.0,307.0,2046988
2016-07-01,304.0423278808594,332.8500061035156,346.5,318.3999938964844,326.20001220703125,1281347
2016-08-01,263.2557067871094,286.45001220703125,335.95001220703125,284.0,334.95001220703125,1054282
2016-09-01,268.9996032714844,292.70001220703125,309.3500061035156,282.45001220703125,287.5,2544401
2016-10-01,256.5467529296875,279.1499938964844,320.75,278.0,294.0,1892042
2016-11-01,234.71981811523438,255.39999389648438,283.8999938964844,216.0500030517578,283.0,2387765
2016-12-01,225.71334838867188,245.60000610351562,268.95001220703125,242.1999969482422,255.5,874175
2017-01-01,239.26902770996094,260.3500061035156,272.0,246.35000610351562,248.0,903410
2017-02-01,267.4372253417969,291.0,296.79998779296875,258.25,262.95001220703125,1698851
2017-03-01,315.686279296875,343.5,382.1000061035156,289.25,293.29998779296875,8657918
2017-04-01,340.54595947265625,370.54998779296875,416.6000061035156,340.95001220703125,347.5,14105458
2017-05-01,341.32708740234375,371.3999938964844,450.0,363.70001220703125,370.54998779296875,9741239
2017-06-01,338.57000732421875,368.3999938964844,401.25,358.70001220703125,371.79998779296875,3160425
2017-07-01,366.9679870605469,399.29998779296875,414.79998779296875,366.04998779296875,366.04998779296875,5245526
2017-08-01,363.71710205078125,393.3999938964844,409.8999938964844,345.0,408.8999938964844,7576681
2017-09-01,359.51043701171875,388.8500061035156,431.3999938964844,380.0,397.0,3141987
